12.9525 chr2L:5363287-5364286 NA (>10000) nompC;nompC;CG42850;H15;CG31647; 1 0 0 2 0 
12.9373 chr3R:11947600-11948599 Sb (7351) Akt1;Akt1;Sb;CG5903;CG5916; 0 4 0 0 0 
12.9373 chr2R:4951258-4952257 CG8197 (-1329) CG8193;CG13743;CG8197;ana;ana; 0 4 0 0 0 
12.5987 chr2R:18137373-18138372 dve (-5405) Oatp58Dc;Oatp58Dc;dve;dve;CG5819; 0 0 0 1 2 
12.4543 chr3R:1542062-1543061 cas (1460) plx;plx;cas;CG1239;CG2100; 1 0 0 1 1 
12.4543 chr3R:19740413-19741412 sba (8782) TfIIA-S;CG13597;sba;CG31141;CG5857; 1 0 0 1 1 
12.31 chr2L:12630941-12631940 NA (>10000) nub;ref2;nub;pdm2;CG15485; 2 0 0 1 0 
12.2977 chr2R:3567087-3568086 CG1399 (1968) CG12107;U2A;CG1399;CG1399;CG1399; 0 1 0 2 0 
12.2977 chr2L:9809574-9810573 NA (>10000) CG4036;CG4036;CG13123;nAcRalpha-30D;nAcRalpha-30D; 0 1 0 2 0 
12.2977 chr2R:16076956-16077955 NA (>10000) 18w;CG11041;CG16894;CG11044;CG11099; 0 1 0 2 0 
12.0486 chr3L:11287119-11288118 CG6175 (1268) Ir68a;scyl;CG6175;CG7573;CG6168; 1 0 1 1 0 
12.0486 chr3R:19299444-19300443 CG4374 (-1728) CG17380;Ir94e;CG4374;Ir94f;Ir94g; 1 0 1 1 0 
11.9561 chr3R:15593519-15594518 CG6300 (5928) GluClalpha;GluClalpha;CG6300;CG11659;CG11391; 1 0 0 0 2 
11.9561 chr3R:19725842-19726841 CG13597 (-6237) Pli;TfIIA-S;CG13597;sba;CG31141; 1 0 0 0 2 
11.8118 chrX:13814163-13815162 NA (>10000) CG32626;CG11071;mamo;mamo;CG11068; 2 0 0 0 1 
11.8118 chr2R:12720109-12721108 CG34460 (-5207) CG5550;CG34459;CG34460;Ugt37c1;CG5859; 2 0 0 0 1 
11.8118 chr3R:3993299-3994298 NA (>10000) CG9667;Gie;grn;CheA84a;CG7800; 2 0 0 0 1 
11.7995 chr2R:3927327-3928326 Optix (1745) CG14762;Optix;Optix;CG12769;CG12769; 0 1 0 1 1 
11.7995 chr3L:10250992-10251991 can (9719) scramb1;Or67c;can;Or67d;CG12362; 0 1 0 1 1 
11.7995 chr3R:25372204-25373203 NA (>10000) Trc8;CG2014;Dr;CG7567;CG11470; 0 1 0 1 1 
11.7995 chr3L:17160140-17161139 NA (>10000) rogdi;CG7724;Rbp6;Rbp6;CG6512; 0 1 0 1 1 
11.7995 chr3R:25348774-25349773 CG2014 (-6739) Trc8;Trc8;CG2014;Dr;CG7567; 0 1 0 1 1 
11.7995 chr3R:13309701-13310700 NA (>10000) Eh;CG14330;Dscam3;Dscam3;Dscam3; 0 1 0 1 1 
11.7873 chr3R:1208204-1209203 7B2 (-5228) 7B2;7B2;CG14668;kkv;kkv; 0 0 2 1 0 
11.7873 chr2R:6098067-6099066 Hr46 (1285) KCNQ;CG34221;Hr46;Hr46;Hr46; 0 0 2 1 0 
11.6674 chr2R:19763025-19764024 TM4SF (3457) ken;TM4SF;TM4SF;CG4882;PHDP; 3 0 0 0 0 
11.6674 chr3R:24436164-24437163 CG9986 (-3805) Hrb98DE;Hrb98DE;CG9986;CG10011;CG9988; 3 0 0 0 0 
11.6674 chr3R:5305737-5306736 CG16779 (-3732) CG9363;CG9363;CG16779;CG8147;RhoL; 3 0 0 0 0 
11.6674 chr2R:5665447-5666446 NA (>10000) trpl;CG1690;CG1698;CG1688;CG1648; 3 0 0 0 0 
11.6551 chr2L:2196159-2197158 CG34172 (-2649) CG10874;CG10874;CG34172;CG31668;CG33124; 1 1 0 1 0 
11.6551 chr2L:3601303-3602302 odd (5945) drm;sob;odd;Dot;CG15418; 1 1 0 1 0 
11.6551 chr3L:15447113-15448112 NA (>10000) Toll-6;CG33259;CG7804;ran-like;CG13455; 1 1 0 1 0 
11.6551 chr2L:7975303-7976302 Snoo (3160) Spn28Da;Spn28Db;Snoo;Snoo;Snoo; 1 1 0 1 0 
11.6551 chr3L:1691248-1692247 CG7991 (-1939) CG7991;CG7991;CG12011;CG13931;CG18171; 1 1 0 1 0 
11.6551 chr2L:12843443-12844442 NA (>10000) MRP;CG15483;kek1;ACXC;ACXC; 1 1 0 1 0 
11.6551 chr3R:26086509-26087508 CG18404 (-7105) CG34299;CG9682;CG18404;hdc;CG34300; 1 1 0 1 0 
11.5505 chr3R:20319413-20320412 nAcRalpha-96Ab (-7654) CG31128;nAcRalpha-96Ab;nAcRalpha-96Ab;nAcRbeta-96A;CG13617; 1 0 1 0 1 
11.5505 chr3R:10292982-10293981 NA (>10000) cv-c;CG34388;cv-c;cv-c;HtrA2; 1 0 1 0 1 
11.5505 chr2R:7904739-7905738 otk (3090) rho-7;CG8298;otk;CG8964;CG8889; 1 0 1 0 1 
11.5505 chr2R:7378205-7379204 NA (>10000) E(Pc);inv;inv;en;en; 1 0 1 0 1 
11.5505 chr3L:382882-383881 trh (-5066) CG13884;trh;trh;trh;CG13891; 1 0 1 0 1 
11.5505 chr3R:12536546-12537545 NA (>10000) Ubx;Ubx;Ubx;CG31275;CG31275; 1 0 1 0 1 
11.4061 chr2R:12396456-12397455 Sema-2a (7755) CG7813;Sema-2a;Sema-2a;Sema-2a;loopin-1; 2 0 1 0 0 
11.4061 chr2L:6730463-6731462 TTLL3B (2903) homer;Liprin-alpha;TTLL3B;TTLL3A;CG11221; 2 0 1 0 0 
11.4061 chr3L:994658-995657 CG12038 (-170) Glut1;CG13908;CG12038;trio;trio; 2 0 1 0 0 
11.4061 chr2L:7915376-7916375 NA (>10000) CG7102;Spn28Da;Spn28Db;Snoo;Snoo; 2 0 1 0 0 
11.4061 chr3R:27437323-27438322 Med (-36) CycG;Med;CycG;CG11539;CG1792; 2 0 1 0 0 
11.4061 chr3R:17226861-17227860 CG6475 (-897) bap;CG6475;CG43311;CG7907;CG7907; 2 0 1 0 0 
11.3938 chr3L:9566980-9567979 NA (>10000) CG42673;CG42673;CG42673;CG14177;CG3222; 0 1 1 1 0 
11.3938 chr3R:11242468-11243467 Atx2 (-6795) CG6125;Atx2;Atx2;CG6118;CG6118; 0 1 1 1 0 
11.3938 chr3R:4203146-4204145 CG42285 (-7004) CG7963;CG42286;CG42285;CG31462;Obp85a; 0 1 1 1 0 
11.3938 chr3R:21831532-21832531 HLHmbeta (713) HLHmdelta;HLHmgamma;HLHmbeta;malpha;m1; 0 1 1 1 0 
11.3938 chr3R:26498221-26499220 NA (>10000) CG34432;CG34433;Spn100A;CG12069;CG12069; 0 1 1 1 0 
11.3938 chr2L:6743372-6744371 CG11221 (-364) TTLL3B;TTLL3A;CG11221;CG31910;CG11322; 0 1 1 1 0 
11.3938 chr3R:23979879-23980878 CG34354 (-6777) CG34362;CG34354;CG34354;CG43125;CG43124; 0 1 1 1 0 
11.3013 chr3R:6431577-6432576 hth (315) hth;hth;hth;hth;hth; 0 1 0 0 2 
11.3013 chr2R:11629920-11630919 NA (>10000) CG42662;CG30083;CG30089;Zasp52;Zasp52; 0 1 0 0 2 
11.2891 chrX:18278163-18279162 betaCop (1565) por;CG6179;betaCop;Tsf1;CG32549; 0 0 2 0 1 
11.2891 chr3R:6339753-6340752 NA (>10000) CG6345;Cyp12e1;hth;hth;hth; 0 0 2 0 1 
11.2891 chr3L:5845167-5846166 vn (-5903) mad2;vn;vn;CG5568;CG18586; 0 0 2 0 1 
11.2891 chr3L:3660747-3661746 CG43098 (-1171) dar1;CG10862;CG43098;CG43089;CG32264; 0 0 2 0 1 
11.2891 chr2L:13429396-13430395 Tehao (6741) CG16848;CG16956;Tehao;CG9267;Hsp60D; 0 0 2 0 1 
11.2891 chr2R:14930099-14931098 CG15115 (-5707) CG43351;5-HT1B;CG15115;CG15116;CG15109; 0 0 2 0 1 
11.157 chr2L:17644117-17645116 NA (>10000) Sytalpha;CG15147;CG43054;CG43231;CadN; 1 1 0 0 1 
11.157 chr3L:10298952-10299951 NA (>10000) Or67c;can;Or67d;CG12362;CG12362; 1 1 0 0 1 
11.157 chr3R:23976454-23977453 CG34354 (-3352) CG34362;CG34354;CG34354;CG43125;CG43124; 1 1 0 0 1 
11.157 chr3R:17893375-17894374 NA (>10000) how;how;CG13408;CG5778;CG5791; 1 1 0 0 1 
11.157 chr3R:17935693-17936692 CG5778 (710) CG5791;CG13407;CG5778;Ir94a;Ir94b; 1 1 0 0 1 
11.157 chr2R:15764186-15765185 CG13872 (4739) Obp56i;Obp56i;CG13872;CG43195;CG42690; 1 1 0 0 1 
11.157 chr2L:11387671-11388670 NA (>10000) salr;salr;salr;salm;CG43355; 1 1 0 0 1 
11.157 chr3R:17356470-17357469 CG7956 (-9303) CG7956;CG7956;CG7956;slou;CG15498; 1 1 0 0 1 
11.157 chr3L:10040650-10041649 NA (>10000) vnc;dpr6;CG14160;CG32053;CG32054; 1 1 0 0 1 
11.157 chr2L:3777814-3778813 bowl (1624) bowl;bowl;bowl;CG31960;CG31958; 1 1 0 0 1 
11.157 chr2R:20528590-20529589 CG3640 (-879) CG13594;CG3640;CG4781;CG3663;Cpr60D; 1 1 0 0 1 
11.157 chr2R:20542799-20543798 CG3663 (6748) CG3640;CG4781;CG3663;Cpr60D;CG30161; 1 1 0 0 1 
11.157 chr2R:8793712-8794711 NA (>10000) vg;NAT1;NAT1;NAT1;CG13319; 1 1 0 0 1 
11.157 chr3R:23039368-23040367 CG34006 (4828) spn-D;Ser;CG34006;CG42813;CG42814; 1 1 0 0 1 
11.1448 chr3R:19968986-19969985 kal-1 (-1369) sec10;Npc2f;kal-1;Slimp;p38c; 1 0 2 0 0 
11.1448 chr3R:19333542-19334541 CG34289 (-31) CG34289;CG34289;CG34289;Irk2;Irk2; 1 0 2 0 0 
11.1448 chr3R:10803795-10804794 NA (>10000) VhaPPA1-1;CG3837;CG14861;RpL10Aa;dpr9; 1 0 2 0 0 
11.1448 chr3L:22636210-22637209 CG33766 (3017) CG14459;CG6914;CG33766;CG33767;CG33768; 1 0 2 0 0 
11.1448 chr3L:6384080-6385079 NA (>10000) Sfp65A;CG13300;CG42747;CG10147;CG8270; 1 0 2 0 0 
11.0126 chr2L:5400005-5401004 H15 (4837) nompC;CG42850;H15;CG31647;mid; 2 1 0 0 0 
11.0126 chr3R:23324338-23325337 CG43139 (3909) Cyp6a18;Gr98a;CG43139;CG5402;CG13972; 2 1 0 0 0 
11.0126 chr2L:9433002-9434001 scat (-1099) FucTB;scat;CG3769;RpS28-like;numb; 2 1 0 0 0 
11.0126 chr2R:13174908-13175907 NA (>10000) mbl;mbl;mbl;Sip1;CG6568; 2 1 0 0 0 
11.0126 chr2R:9202045-9203044 NA (>10000) Dh31-R1;CG4734;CG17047;CG17048;CG10814; 2 1 0 0 0 
11.0003 chr3R:14243871-14244870 CG31122 (-4782) CG10864;CG31122;CG31122;fru;fru; 0 2 0 1 0 
11.0003 chr2L:1404796-1405795 NA (>10000) NLaz;CG14346;lea;CG31928;CG33128; 0 2 0 1 0 
11.0003 chr2L:1409383-1410382 NA (>10000) NLaz;CG14346;lea;CG31928;CG33128; 0 2 0 1 0 
11.0003 chr3L:11889482-11890481 CG5897 (-5210) CG14127;CG5897;CG5897;CG11588;CG5718; 0 2 0 1 0 
11.0003 chrX:7243615-7244614 CG15034 (-1576) CBP;CBP;CG15034;CG1999;CheA7a; 0 2 0 1 0 
11.0003 chr3R:23596028-23597027 NA (>10000) CG12877;CG12877;Ets98B;Or98a;CG12426; 0 2 0 1 0 
11.0003 chr3R:17274701-17275700 lbe (-2159) lbl;lbl;lbe;CG7922;C15; 0 2 0 1 0 
11.0003 chr2R:16399094-16400093 CG13426 (2080) Obp57b;Obp57a;CG13426;CG13422;CG30151; 0 2 0 1 0 
11.0003 chr3R:13272929-13273928 Eh (2821) CG14331;CG14331;Eh;CG14330;Dscam3; 0 2 0 1 0 
10.8957 chr3R:24792192-24793191 CG14521 (4384) Doa;CG11828;CG14521;CG1443;CG14518; 0 1 1 0 1 
10.8957 chr2R:12278390-12279389 CG33960 (-3837) CG43187;CG33960;CG33960;Menl-2;Menl-2; 0 1 1 0 1 
10.8957 chr2R:15090683-15091682 NA (>10000) CG10737;hppy;CG7137;cora;cora; 0 1 1 0 1 
10.8957 chr2L:1568270-1569269 NA (>10000) Or22a;Or22b;haf;CG10869;CG31935; 0 1 1 0 1 
10.8957 chr2R:10934708-10935707 CG33467 (9538) CG43101;Obp51a;CG33467;chn;chn; 0 1 1 0 1 
10.8957 chr2R:18937007-18938006 twi (-2658) CG42741;twi;twi;CG30194;CG30194; 0 1 1 0 1 
10.8957 chr2R:10958204-10959203 NA (>10000) CG43101;Obp51a;CG33467;chn;chn; 0 1 1 0 1 
10.8957 chr2L:4878360-4879359 Cf2 (5253) pog;Cf2;Cf2;CG3008;Cf2; 0 1 1 0 1 
10.8957 chr3R:7182067-7183066 KP78a (-2714) KP78b;KP78a;KP78b;pros;mRpL40; 0 1 1 0 1 
10.8957 chr3L:14360638-14361637 CG13481 (2669) fz;CG13482;CG13481;CG43120;CG3868; 0 1 1 0 1 
10.8957 chr3L:10981619-10982618 NA (>10000) Aps;CG34050;CG14147;klu;Fad2; 0 1 1 0 1 
10.8957 chr2L:17877052-17878051 NA (>10000) CadN;CG42830;CadN2;CG43271;CG5674; 0 1 1 0 1 
10.8835 chr3L:10309330-10310329 NA (>10000) Or67c;can;Or67d;CG12362;CG12362; 0 0 3 0 0 
10.8835 chr2L:12907369-12908368 ACXC (5661) kek1;ACXC;ACXC;ACXB;ACXA; 0 0 3 0 0 
10.8835 chrX:21013687-21014686 CG34120 (-9905) CG34120;CG34120;CG34120;CG14579;CG1724; 0 0 3 0 0 
10.7513 chr3R:6844193-6845192 NA (>10000) CG6621;CG4683;CG34114;CG6629;Ugt86Dd; 1 1 1 0 0 
10.7513 chr2L:2597193-2598192 CG15394 (-7839) p16-ARC;Drp1;CG15394;CG15395;CG9962; 1 1 1 0 0 
10.7513 chr2R:1915104-1916103 dream (-3893) Act42A;Pngl;dream;SCAP;CG14591; 1 1 1 0 0 
10.7513 chr2L:4549549-4550548 NA (>10000) ine;ine;HP6;dp;BG642163; 1 1 1 0 0 
10.7513 chr2R:8758558-8759557 bic (-298) CG17574;bic;bic;CG3790;CG3814; 1 1 1 0 0 
10.7513 chrX:7264257-7265256 CheA7a (8416) CG15034;CG1999;CheA7a;CG42781;CG15035; 1 1 1 0 0 
10.7513 chr2L:19304023-19305022 CG10750 (-3217) CG31797;CG17564;CG10750;dnt;CG13086; 1 1 1 0 0 
10.7513 chr2L:9596402-9597401 CG4382 (4951) CG3841;CG3841;CG4382;gcm2;gcm2; 1 1 1 0 0 
10.7513 chr3R:23307072-23308071 Cyp6a18 (-2173) side;CG13978;Cyp6a18;Gr98a;CG43139; 1 1 1 0 0 
10.7513 chr3L:5660204-5661203 sif (1216) sif;sif;sif;sif;sif; 1 1 1 0 0 
10.7513 chr3R:5251548-5252547 ps (3236) ps;ps;ps;ps;ps; 1 1 1 0 0 
10.7513 chr3R:25207507-25208506 Ptp99A (-4020) Cnx99A;Cnx99A;Ptp99A;Ptp99A;Ptp99A; 1 1 1 0 0 
10.7513 chr3L:15369910-15370909 NA (>10000) Toll-6;Toll-6;CG33259;CG7804;ran-like; 1 1 1 0 0 
10.7513 chr3R:17081216-17082215 ETHR (-7690) CG5892;ETHR;ETHR;Rab1;AP-2sigma; 1 1 1 0 0 
10.7513 chr3R:24542993-24543992 NA (>10000) CG9990;CG9990;htt;AR-2;CG10000; 1 1 1 0 0 
10.7513 chrX:11127456-11128455 NA (>10000) CG15200;CG11106;CG42683;CG15198;CG34144; 1 1 1 0 0 
10.7513 chr3L:19338920-19339919 pip (-7721) pip;pip;pip;CG14087;CG32206; 1 1 1 0 0 
10.7513 chr2R:17490649-17491648 CG10433 (4309) CG33225;CG10433;CG10433;CG43243;CG15673; 1 1 1 0 0 
10.5022 chr2L:19222980-19223979 NA (>10000) gammaTub37C;pigeon;drl;CG31797;CG17564; 0 2 0 0 1 
10.5022 chr2R:18654482-18655481 CG13527 (-2743) CG42260;CG13526;CG13527;CG30270;CG42260; 0 2 0 0 1 
10.5022 chr3R:6393073-6394072 hth (-4439) CG6345;Cyp12e1;hth;hth;hth; 0 2 0 0 1 
10.5022 chr3R:23285550-23286549 CG13978 (4861) side;side;CG13978;Cyp6a18;Gr98a; 0 2 0 0 1 
10.5022 chr3R:17362239-17363238 NA (>10000) CG7956;CG7956;CG7956;slou;CG15498; 0 2 0 0 1 
10.5022 chr3R:10366006-10367005 Pde6 (-9993) CG34273;Cyp313a1;Pde6;CG14854;CG14850; 0 2 0 0 1 
10.5022 chr3L:8318144-8319143 CG34461 (1319) CG43059;CG13670;CG34461;CG34462;Cpr66Cb; 0 2 0 0 1 
10.5022 chr2R:11496745-11497744 CG42524 (5362) CG30466;CG8204;CG42524;fus;fus; 0 2 0 0 1 
10.5022 chr3R:25523402-25524401 dmrt99B (-4589) Gycalpha99B;Obp99c;dmrt99B;Obp99d;Dup99B; 0 2 0 0 1 
10.5022 chr2L:673501-674500 NA (>10000) lectin-21Ca;CG2839;ds;Hsp60B;Eaat2; 0 2 0 0 1 
10.5022 chr3R:21829601-21830600 HLHmbeta (2644) HLHmdelta;HLHmgamma;HLHmbeta;malpha;m1; 0 2 0 0 1 
10.5022 chr3R:22313768-22314767 NA (>10000) CG5455;CG5455;CG5455;CG6490;scrib; 0 2 0 0 1 
10.5022 chrX:4954333-4955332 ovo (4044) ovo;ovo;ovo;ovo;ovo; 0 2 0 0 1 
10.5022 chr3R:24532745-24533744 NA (>10000) CG9990;CG9990;htt;AR-2;CG10000; 0 2 0 0 1 
10.5022 chr3R:25127178-25128177 CG14506 (-3727) SP1029;stg;CG14506;Cnx99A;Cnx99A; 0 2 0 0 1 
10.5022 chr2R:11725060-11726059 Poxn (-2280) Zasp52;CG33465;Poxn;CG8249;tun; 0 2 0 0 1 
10.5022 chr3L:22591340-22592339 CG14459 (4988) CG11404;Trxr-2;CG14459;CG6914;CG33766; 0 2 0 0 1 
10.5022 chrX:13809483-13810482 NA (>10000) CG32626;CG11071;mamo;mamo;CG11068; 0 2 0 0 1 
10.5022 chr2L:888241-889240 CG15824 (-2689) PNUTS;ninaA;CG15824;Lsp1beta;GluRIIC; 0 2 0 0 1 
10.49 chrX:7237287-7238286 CBP (-4648) CBP;CBP;CG15034;CG1999;CheA7a; 0 1 2 0 0 
10.49 chr3R:5243870-5244869 ps (294) ps;ps;ps;ps;ps; 0 1 2 0 0 
10.49 chr3R:9025970-9026969 CG8141 (-8047) CG8508;CG14380;CG8141;CG8483;CG8476; 0 1 2 0 0 
10.49 chr3R:23640469-23641468 NA (>10000) CG12877;Ets98B;Or98a;CG12426;CG34353; 0 1 2 0 0 
10.49 chr2R:10350388-10351387 Oaz (-3647) phyl;Oaz;Oaz;L;Cpsf160; 0 1 2 0 0 
10.49 chr2L:1480112-1481111 NA (>10000) CG14346;lea;CG31928;CG33128;CG31926; 0 1 2 0 0 
10.49 chr2R:14562219-14563218 edl (-682) Gint3;CG33136;edl;CG15086;CG42855; 0 1 2 0 0 
10.49 chr3L:3694755-3695754 NA (>10000) CG10862;CG43098;CG43089;CG32264;CG10858; 0 1 2 0 0 
10.49 chr3L:17561120-17562119 Eip74EF (8800) CycT;CycT;Eip74EF;Eip74EF;Eip74EF; 0 1 2 0 0 
10.49 chr3L:10935255-10936254 CG34050 (2801) Cpr67Fb;Aps;CG34050;CG14147;klu; 0 1 2 0 0 
10.49 chr3R:18185369-18186368 sar1 (-2472) CG7077;sar1;PSR;CG7071;muted; 0 1 2 0 0 
10.49 chr3L:6977841-6978840 CG32388 (331) CG10063;G-ialpha65A;CG32388;bin;mp; 0 1 2 0 0 
10.49 chr3R:18120762-18121761 CG7084 (4276) SKIP;Gld2;CG7084;CG7084;CG34377; 0 1 2 0 0 
10.49 chr3L:18438267-18439266 skl (-4730) grim;rpr;skl;CG32196;CG4306; 0 1 2 0 0 
10.3578 chr2L:15431122-15432121 CG4161 (2740) CG15258;wor;CG4161;sna;Tim17b2; 1 2 0 0 0 
10.3578 chr3R:9422515-9423514 CG14369 (-3679) CG31337;CG14370;CG14369;CG42760;CG42761; 1 2 0 0 0 
10.3578 chr2L:16945828-16946827 CG43053 (46) ApepP;ApepP;CG43053;beat-IIIb;CG31806; 1 2 0 0 0 
10.3578 chr3R:6357775-6358774 NA (>10000) CG6345;Cyp12e1;hth;hth;hth; 1 2 0 0 0 
10.3578 chrX:5112085-5113084 rg (6277) CG15464;rg;rg;CG42749;CG42749; 1 2 0 0 0 
10.3578 chr2L:22055901-22056900 CG34173 (-1156) CG41434;CG31601;CG34173;CG42597;CG31702; 1 2 0 0 0 
10.3578 chr2R:15697571-15698570 Obp56h (5988) Obp56g;Obp56h;Obp56h;Toll-7;Obp56i; 1 2 0 0 0 
10.3578 chr2L:1623941-1624940 RFeSP (-9259) CG31935;CG14352;RFeSP;chinmo;chinmo; 1 2 0 0 0 
10.3578 chr2R:11485644-11486643 NA (>10000) CG30466;CG8204;CG42524;fus;fus; 1 2 0 0 0 
10.3578 chrX:5910399-5911398 mab-21 (-2688) CG5966;CG4766;mab-21;rux;rux; 1 2 0 0 0 
10.3578 chr3L:1432818-1433817 SA-2 (5554) CG9173;Ptp61F;SA-2;rho;CG32319; 1 2 0 0 0 
10.3578 chrX:8659811-8660810 NA (>10000) l(1)G0020;CG1789;Lim1;CG12075;CG12075; 1 2 0 0 0 
10.3578 chr3R:23823095-23824094 CG4815 (-6122) betaTub97EF;betaTub97EF;CG4815;CG34362;CG34362; 1 2 0 0 0 
10.3578 chr2L:11415960-11416959 NA (>10000) salr;salr;salm;CG43355;sala; 1 2 0 0 0 
10.3578 chrX:15338721-15339720 CG18210 (-2970) CG9164;cngl;CG18210;Scamp;Ahcy13; 1 2 0 0 0 
10.0965 chr3R:22598452-22599451 NA (>10000) CG6403;CG14247;CG42789;CG42790;Tl; 0 2 1 0 0 
10.0965 chr3R:23231761-23232760 NA (>10000) CG42534;side;side;CG13978;Cyp6a18; 0 2 1 0 0 
10.0965 chrX:15615432-15616431 CG8184 (-6784) CG9281;CG15601;CG8184;CG8191;CG12379; 0 2 1 0 0 
10.0965 chr3L:6815365-6816364 NA (>10000) CG32392;vvl;vvl;Prat2;Prat2; 0 2 1 0 0 
10.0965 chr3L:19483617-19484616 CG32212 (-2063) CG32213;CG9472;CG32212;CG9449;CG9449; 0 2 1 0 0 
10.0965 chr3R:6347207-6348206 NA (>10000) CG6345;Cyp12e1;hth;hth;hth; 0 2 1 0 0 
10.0965 chr3L:3563907-3564906 NA (>10000) Eip63E;Eip63E;Eip63E;CG10359;CG10357; 0 2 1 0 0 
10.0965 chr3R:23241409-23242408 side (3338) CG42534;side;side;CG13978;Cyp6a18; 0 2 1 0 0 
10.0965 chrX:8630388-8631387 NA (>10000) CG1785;l(1)G0020;CG1789;Lim1;CG12075; 0 2 1 0 0 
10.0965 chr3L:7203652-7204651 NA (>10000) CG8620;CG8620;Dscam2;CG14826;CG14829; 0 2 1 0 0 
10.0965 chr3L:7206019-7207018 NA (>10000) CG8620;Dscam2;CG14826;CG14829;BHD; 0 2 1 0 0 
